,Unnamed: 0,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
0,0,arg-quality,0.0,0.0,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
1,1,arg-quality,0.0,0.0,0.2,0.5278191281471762,0.42347723668534665,0.4227227083209396
2,2,arg-quality,0.0,0.0,0.4,0.5333613663051088,0.4232288343948053,0.4341716599646076
3,3,arg-quality,0.0,0.0,0.6000000000000001,0.5261561811439278,0.4177510451973232,0.4425558648076993
4,4,arg-quality,0.0,0.0,0.8,0.5125930006607076,0.4006665354601242,0.4271920038609207
5,5,arg-quality,0.0,0.0,1.0,0.4869196860045135,0.3683430010944333,0.39923246348872654
6,6,arg-quality,0.0,0.2,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
7,7,arg-quality,0.0,0.2,0.2,0.5278191281471762,0.42347723668534665,0.4227227083209396
8,8,arg-quality,0.0,0.2,0.4,0.5333613663051088,0.4232288343948053,0.4341716599646076
9,9,arg-quality,0.0,0.2,0.6000000000000001,0.5261561811439278,0.4177510451973232,0.4425558648076993
10,10,arg-quality,0.0,0.2,0.8,0.5125930006607076,0.4006665354601242,0.4271920038609207
11,11,arg-quality,0.0,0.2,1.0,0.4869196860045135,0.3683430010944333,0.39923246348872654
12,12,arg-quality,0.0,0.4,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
13,13,arg-quality,0.0,0.4,0.2,0.5309813661007601,0.4233503427550698,0.4257671787407856
14,14,arg-quality,0.0,0.4,0.4,0.5074081426678554,0.3916769126594071,0.4172485987492564
15,15,arg-quality,0.0,0.4,0.6000000000000001,0.5239497012961686,0.4151848299099483,0.4410288370776577
16,16,arg-quality,0.0,0.4,0.8,0.5125627751060833,0.4018139291035907,0.4294468227642804
17,17,arg-quality,0.0,0.4,1.0,0.4853585900809523,0.3714787463981743,0.4004408860069731
18,18,arg-quality,0.0,0.6000000000000001,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
19,19,arg-quality,0.0,0.6000000000000001,0.2,0.5378147099776347,0.4319024168293756,0.4411243988373009
20,20,arg-quality,0.0,0.6000000000000001,0.4,0.5037009789389726,0.3910282275668273,0.40585606170317895
21,21,arg-quality,0.0,0.6000000000000001,0.6000000000000001,0.5004161492293218,0.3854328938361217,0.4106412135182351
22,22,arg-quality,0.0,0.6000000000000001,0.8,0.5098416971084456,0.4038418901045613,0.43271060363706015
23,23,arg-quality,0.0,0.6000000000000001,1.0,0.4471043872185904,0.3502742832189647,0.3990394588171096
24,24,arg-quality,0.0,0.8,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
25,25,arg-quality,0.0,0.8,0.2,0.5461491024821117,0.4370831678115836,0.4442029717634397
26,26,arg-quality,0.0,0.8,0.4,0.5453367815596435,0.4395676020811087,0.4394652403471798
27,27,arg-quality,0.0,0.8,0.6000000000000001,0.5497968989913753,0.4451004521104453,0.43778289943007503
28,28,arg-quality,0.0,0.8,0.8,0.5456926056326092,0.43707232835118,0.4345464102506211
29,29,arg-quality,0.0,0.8,1.0,0.4432489833983281,0.3524504092733081,0.4126785565307044
30,30,arg-quality,0.2,0.0,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
31,31,arg-quality,0.2,0.0,0.2,0.5278191281471762,0.42347723668534665,0.4227227083209396
32,32,arg-quality,0.2,0.0,0.4,0.5333613663051088,0.4232288343948053,0.4341716599646076
33,33,arg-quality,0.2,0.0,0.6000000000000001,0.5261561811439278,0.4177510451973232,0.4425558648076993
34,34,arg-quality,0.2,0.0,0.8,0.5125930006607076,0.4006665354601242,0.4271920038609207
35,35,arg-quality,0.2,0.0,1.0,0.4869196860045135,0.3683430010944333,0.39923246348872654
36,36,arg-quality,0.2,0.2,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
37,37,arg-quality,0.2,0.2,0.2,0.5278191281471762,0.42347723668534665,0.4227227083209396
38,38,arg-quality,0.2,0.2,0.4,0.5333613663051088,0.4232288343948053,0.4341716599646076
39,39,arg-quality,0.2,0.2,0.6000000000000001,0.5261561811439278,0.4177510451973232,0.4425558648076993
40,40,arg-quality,0.2,0.2,0.8,0.5125930006607076,0.4006665354601242,0.4271920038609207
41,41,arg-quality,0.2,0.2,1.0,0.4869196860045135,0.3683430010944333,0.39923246348872654
42,42,arg-quality,0.2,0.4,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
43,43,arg-quality,0.2,0.4,0.2,0.5309813661007601,0.4233503427550698,0.4257671787407856
44,44,arg-quality,0.2,0.4,0.4,0.5074081426678554,0.3916769126594071,0.4172485987492564
45,45,arg-quality,0.2,0.4,0.6000000000000001,0.5239497012961686,0.4151848299099483,0.4410288370776577
46,46,arg-quality,0.2,0.4,0.8,0.5125627751060833,0.4018139291035907,0.4294468227642804
47,47,arg-quality,0.2,0.4,1.0,0.4853585900809523,0.3714787463981743,0.4004408860069731
48,48,arg-quality,0.2,0.6000000000000001,0.0,0.5120322951348599,0.4036722417434773,0.4146109798107323
49,49,arg-quality,0.2,0.6000000000000001,0.2,0.5378147099776347,0.4319024168293756,0.4411243988373009
